iter	Passed	Remaining
0	178	142778
1	217	86845
2	251	66936
3	296	58952
4	343	54554
5	376	49863
6	412	46719
7	449	44495
8	495	43558
9	541	42792
10	578	41468
11	612	40227
12	653	39542
13	688	38628
14	732	38331
15	768	37643
16	811	37369
17	853	37066
18	895	36814
19	947	36936
20	992	36834
21	1042	36863
22	1109	37484
23	1148	37122
24	1188	36835
25	1220	36341
26	1251	35843
27	1297	35764
28	1350	35916
29	1387	35602
30	1419	35212
31	1458	34998
32	1490	34632
33	1522	34304
34	1555	33997
35	1589	33725
36	1678	34611
37	1729	34673
38	1771	34575
39	1803	34259
40	1835	33985
41	1866	33693
42	1899	33447
43	1950	33508
44	2033	34110
45	2088	34228
46	2134	34204
47	2166	33945
48	2197	33678
49	2230	33451
50	2263	33245
51	2293	32993
52	2328	32811
53	2383	32929
54	2442	33087
55	2488	33065
56	2536	33057
57	2598	33242
58	2653	33323
59	2706	33379
60	2763	33476
61	2825	33635
62	2865	33516
63	2919	33570
64	2961	33485
65	2997	33339
66	3050	33375
67	3126	33656
68	3181	33707
69	3255	33955
70	3298	33864
71	3334	33712
72	3365	33514
73	3405	33414
74	3472	33562
75	3552	33839
76	3601	33812
77	3648	33776
78	3703	33802
79	3764	33883
80	3823	33942
81	3899	34142
82	3978	34371
83	4049	34517
84	4091	34420
85	4141	34387
86	4206	34473
87	4282	34647
88	4375	34957
89	4421	34877
90	4463	34775
91	4514	34744
92	4571	34755
93	4619	34698
94	4660	34582
95	4700	34467
96	4744	34385
97	4804	34414
98	4844	34301
99	4897	34279
100	4934	34148
101	4979	34078
102	5026	34012
103	5077	33978
104	5155	34122
105	5200	34049
106	5239	33932
107	5283	33853
108	5344	33879
109	5401	33884
110	5436	33744
111	5495	33757
112	5566	33839
113	5619	33816
114	5683	33852
115	5751	33915
116	5790	33803
117	5851	33822
118	5915	33853
119	5975	33863
120	6022	33793
121	6076	33767
122	6128	33730
123	6178	33683
124	6237	33683
125	6286	33629
126	6361	33708
127	6422	33720
128	6471	33659
129	6515	33579
130	6569	33550
131	6643	33619
132	6712	33662
133	6773	33666
134	6850	33746
135	6920	33790
136	7018	33963
137	7078	33954
138	7119	33858
139	7176	33829
140	7217	33730
141	7269	33686
142	7336	33704
143	7392	33675
144	7448	33644
145	7507	33630
146	7550	33542
147	7599	33479
148	7671	33518
149	7730	33499
150	7779	33437
151	7841	33427
152	7911	33454
153	7969	33431
154	8041	33462
155	8113	33495
156	8177	33490
157	8234	33457
158	8295	33440
159	8356	33424
160	8407	33368
161	8464	33336
162	8521	33300
163	8591	33317
164	8641	33256
165	8684	33168
166	8733	33103
167	8775	33011
168	8844	33024
169	8912	33026
170	8990	33070
171	9035	32991
172	9078	32903
173	9115	32794
174	9159	32711
175	9210	32654
176	9281	32670
177	9342	32646
178	9398	32606
179	9453	32561
180	9501	32493
181	9556	32451
182	9616	32423
183	9670	32375
184	9751	32415
185	9832	32459
186	9907	32476
187	9984	32502
188	10057	32512
189	10136	32543
190	10208	32549
191	10286	32572
192	10367	32606
193	10448	32637
194	10520	32640
195	10598	32660
196	10665	32645
197	10740	32654
198	10814	32662
199	10892	32676
200	10960	32664
201	11029	32650
202	11115	32689
203	11183	32674
204	11266	32700
205	11345	32713
206	11444	32784
207	11518	32782
208	11593	32782
209	11673	32798
210	11753	32809
211	11830	32811
212	11898	32791
213	11999	32857
214	12085	32883
215	12165	32891
216	12232	32863
217	12328	32914
218	12396	32887
219	12478	32896
220	12568	32928
221	12627	32876
222	12663	32765
223	12696	32648
224	12729	32531
225	12768	32429
226	12811	32337
227	12844	32223
228	12875	32105
229	12913	32002
230	12959	31922
231	13035	31915
232	13116	31919
233	13202	31934
234	13279	31927
235	13357	31921
236	13438	31922
237	13519	31925
238	13601	31927
239	13675	31908
240	13753	31901
241	13829	31887
242	13899	31861
243	13975	31846
244	14056	31841
245	14139	31842
246	14220	31838
247	14278	31781
248	14336	31723
249	14430	31747
250	14511	31740
251	14593	31736
252	14675	31730
253	14758	31725
254	14839	31715
255	14920	31705
256	15014	31723
257	15089	31700
258	15156	31659
259	15216	31604
260	15279	31554
261	15350	31521
262	15422	31490
263	15503	31477
264	15589	31473
265	15660	31439
266	15731	31403
267	15807	31379
268	15884	31356
269	15951	31311
270	16035	31301
